id_correspondance,old_artisan_url,new_artisan_url,count_old,count_new,count_sum,,new actif
14891,leroux-gonssard_societe_nouvelle,leroux_gonssard_societe_nouvelle,47,,47,,1
14892,aas_menuiserie-renovation,aas_menuiserie_renovation,5,,5,,1
14893,nollet_christian_s.a.s,nollet_christian_s_a_s,9,,9,,1
14894,appoint-com,appoint_com,2,,2,,1
14895,pierre_et_associes,pierre_associes,1,,1,,1
14896,petit_rene_s.a.r.l.,petit_rene_s_a_r_l,1,,1,,1
14897,bacouel_s.a.r.l.,bacouel_s_a_r_l,5,,5,,1
14898,gance_et_fils_s.a.r.l.,gance_et_fils_s_a_r_l,14,,14,,1
14899,pistre_et_fils_.,pistre_fils,7,,7,,1
14900,c.t.v.,c_t_v,4,,4,,1
14901,s.a.r.l._silve_84,s_a_r_l_silve_84,,,0,,1
14902,c.cobois,c_cobois,8,,8,,1
14903,picoron_s.a.r.l.,picoron_s_a_r_l,,,0,,1
14904,potereau-neau_sarl,potereau_neau_sarl,7,,7,,1
14905,c.c.e._2000,c_c_e_2000,5,,5,,1
14906,guillaumie_s.a.r.l.,guillaumie_s_a_r_l,19,,19,,1
14907,cuny_constructions_s.a.s.,cuny_constructions_s_a_s,15,,15,,1
14908,kuntz_-_colnat_sarl,kuntz_colnat_sarl,12,,12,,1
14909,charpimo_s.a.s._-_charpente,charpimo_s_a_s_charpente,15,,15,,1
14910,poirot_p._et_h._sarl,poirot_p_et_h_sarl,11,,11,,1
14911,chemolle_s.a.r.l,chemolle_s_a_r_l,22,,22,,1
14912,grand_s.a.r.l.,grand_s_a_r_l,6,,6,,1
14913,maquaire_j.m._sarl,maquaire_j_m_sarl,,,0,,1
14914,py-elias,py_elias,7,,7,,1
14915,clement_pere_et_fils.,clement_pere_et_fils,6,,6,,1
14916,s.c.c.s,s_c_c_s,3,,3,,1
14917,gruel-menevaut_sas,gruel_menevaut_sas,1,,1,,1
14918,nallet_j._et_nicole_f._sarl,nallet_j_et_nicole_f_sarl,3,,3,,1
14919,alcaraz_r._ets,alcaraz_r_ets,12,,12,,1
